10,"p547","〔クインベリル〕","もうすぐ……","(Queen Beryl)",,,"Soon..."
11,"p548","〔クインベリル〕","もうすぐだ……","(Queen Beryl)",,,"Very soon..."
12,"p549","〔クインベリル〕","われらの長き
不ぐうの時代は","(Queen Beryl)",,,"Our long era of misfortune"
13,,"〔クインベリル〕","こよい終わりを告げる","(Queen Beryl)",,,"will finally end tonight."
14,"p550","〔クインベリル〕","偉大なるハオウ、デス・ファントムよ","(Queen Beryl)",,,"O Death Phantom, our great ruler,"
15,"p551","〔クインベリル〕","われらをみちびきたまえ……","(Queen Beryl)",,,"show us the way..."
16,"p552","〔クインベリル〕","しゅびよくいったようだな……","(Queen Beryl)",,,"I see you've succeeded."
17,"p553","〔クンツァイト〕","セーラー戦士のジャマは入りましたが","(Kunzite)",,,"The Sailor Senshi have interfered,"
18,,"〔クンツァイト〕","ぬかりはありません……","(Kunzite)",,,"but we've not failed."
19,"p554","〔クインベリル〕","フッ……ろくに使いこなすこともできなかった男には","(Queen Beryl)",,,"Heh. A useless trinket in the hands of a man"
20,,"〔クインベリル〕","無用の長物よ……","(Queen Beryl)",,,"who cannot handle its power."
21,"p555","〔ネフライト〕","それは……きさまとて同じだ……","(Nephrite)",,,"It won't be...any different for you..."
22,"p555a","〔クインベリル〕","！？","(Queen Beryl)",,,"? !"
23,"p556","〔ネフライト〕","黒水晶の力をフルに引き出すことはオレはもとより","(Nephrite)",,,"If I couldn't draw out the full power of the Black Crystal,"
24,,"〔ネフライト〕","きさまにもできん……！","(Nephrite)",,,"then neither will you..."
25,"p557","〔ネフライト〕","それができるのは……","(Nephrite)",,,"The only one who could is―"
26,"p558","〔クインベリル〕","……へらず口がたたけるのも今のうちだ……","(Queen Beryl)",,,"...I hope you've enjoyed flapping your mouth while you could..."
27,"p559","〔クインベリル〕","二度とその口","(Queen Beryl)",,,"I'm going to make sure"
28,"p560","〔クインベリル〕","きけぬようにしてくれるわ……","(Queen Beryl)",,,"you won't have such luxury any longer..."
29,"p561","〔ネフライト〕","！！　や……やめろ……！","(Nephrite)",,,"! ! D-Don't...!"
30,"p562","〔ネフライト〕","やめ……","(Nephrite)",,,"No..."
31,"p563","〔ネフライト〕","ぐっ……！","(Nephrite)",,,"Rgh...!"
32,"p564","〔ネフライト〕","やめろおーーー！","(Nephrite)",,,"DON'T!!"
