10,"r009","〔レイ〕","これで来週の校内新聞か
なんかには","(Rei)","I can already see the headline of the school newspaper.",,"I can already see the headline of the school newspaper."
11,"r010","〔レイ〕","“学園の女王
遅刻で立たされる！”","(Rei)","{Queen of Academy Arrives Late,
Stands in Hallway!}",,"{Queen of Academy Arrives Late,
Stands in Hallway!}"
12,"r011","〔レイ〕","とかのっちゃうんだわ……","(Rei)","...Or something like that...",,"or something like that..."
13,"r012","〔レイ〕","うう、不幸……","(Rei)","*sob* Woe is me...",,"*sob* Woe is me..."
14,"r013","〔美奈子〕","レーーイちゃん！","(Minako)","Reiiiii+-chan++!",,"Rei-chan!"
15,"r014","〔レイ〕","わっ！！","(Rei)","Wah!",,"Wah!"
16,"r015","〔レイ〕","……なんだ、美奈子ちゃんじゃない","(Rei)","Oh, it's just you, Minako+-chan++.",,"Oh, it's just you, Minako-chan."
17,"r016","〔レイ〕","おどかさないでよ","(Rei)","Don't startle me like that.",,"Don't startle me like that."
18,"r017","〔美奈子〕","ごめんごめん","(Minako)","Sorry, sorry.",,"Sorry, sorry."
19,"r018","〔レイ〕","どうしたの、急に？","(Rei)","So, what's up?",,"So, what's up?"
20,"r019","〔美奈子〕","へへー、それがねぇ
ちょっとお話があるのよ","(Minako)","Weeell...I wanted to talk to you about a thing.",,"Weeell... I wanted to talk to you about a thing."
21,"r020","〔レイ〕","…………？","(Rei)","...?",,"...?"
22,,,"聞く",,"Listen to her",,"Listen to her"
23,,,"聞かない",,"Don't listen to her",,"Don't listen to her"
24,,,"考える",,"Think",,"Think"
25,,"〔レイ〕","悪いんだけど美奈子ちゃんあたし今日ツイてないの…","(Rei)","Sorry, Minako+-chan++, but this has been a bad day for me.",,"Sorry Minako-chan, but this is a bad day for me."
26,,"〔美奈子〕","へ？","(Minako)","Huh?",,"Huh?"
27,,"〔レイ〕","めんどうな話なら今度にしてくれない？","(Rei)","I really can't afford even MORE trouble.",,"I can't really afford even MORE trouble."
28,,"〔美奈子〕","うんもう
そんな話じゃないってば","(Minako)","C'mon, it's not going to be trouble!",,"Come on. It's not going to be trouble!"
29,,"〔美奈子〕","うーん……
どっちかって言うと","(Minako)","If anything...",,"If anything..."
30,,"〔美奈子〕","聞かないとめんどうなことになるわよぉ","(Minako)","It'd be trouble if you DIDN'T listen to me.",,"It would be trouble if you did NOT listen to me."
