10,,"〔なる〕","あ……ああ……","(Naru)",,,"Ah... Ahhh..."
11,,"〔ネフライト〕","くっ……ぐぐっ……","(Nephrite)",,,"Rgh... Urgh...."
12,"p512","〔ゾイサイト〕","わたしがこの場所を知っていることを忘れたの？","(Zoisite)",,,"Did you forget that I am well aware of this place?"
13,"p513","〔ゾイサイト〕","ホホホ……相変わらずその娘にごしゅうしんなのね…","(Zoisite)",,,"Hm hm hm... As usual, you're awfully infatuated with this girl."
14,"p514","〔ネフライト〕","く……き……きさまらぁ…","(Nephrite)",,,"D-Damn you...!"
15,"p515","〔なる〕","ネフライトさま！","(Naru)",,,"Nephrite-sama!"
16,"p516","〔クンツァイト〕","裏切り者は死をもって、つぐなってもらうところだが","(Kunzite)",,,"While we'd like nothing better than to execute a traitor,"
17,,"〔クンツァイト〕","パスト・ワイズマンの命令だ。一緒に来てもらおう","(Kunzite)",,,"Past Wiseman has ordered us to bring you back."
18,"p518","〔ネフライト〕","……なるちゃん……
逃げるんだ……","(Nephrite)",,,"...Naru-chan... Run..."
19,"p519","〔ゾイサイト〕","いいわ、黒水晶を持ってすなおについてきてくれたら","(Zoisite)",,,"How about this? If you lead us to the Silver Crystal,"
20,,,"〔ゾイサイト〕
",,,,"(Zoisite)"
21,"p520",,"その娘には手出ししないでおいてあげる",,,,"we won't harm the girl."
22,"p521","〔ネフライト〕","！？……ぐっ……","(Nephrite)",,,"! ? ...Rgh..."
23,"p522","〔なる〕","いやあ！　やめて！　ネフライトさまをはなして！！","(Naru)",,,"No! Stop it! Let Nephrite-sama go!"
24,"p523","〔クンツァイト〕","どうせ、もうすぐこの街からは","(Kunzite)",,,"Not that it matters."
25,,"〔クンツァイト〕","一人残らず人間が消えるのだからな","(Kunzite)",,,"Soon, there won't be any humans left in this town."
26,"p524","〔ゾイサイト〕","すべてのエナジーをわたしたちにささげてね……","(Zoisite)",,,"All of their energy will be ours..."
27,"p525","〔クンツァイト〕","ふははははははは……","(Kunzite)",,,"Mwahahahah!"
28,,"〔ゾイサイト〕","おほほほほほ……","(Zoisite)",,,"Hoh hoh hoh hoh hoh!"
29,"p526","〔ネフライト〕","きさまら……まさか……すでに……","(Nephrite)",,,"N-No way... You've already―?!"
30,"p527","〔セーラームーン〕","まちなさい！","(Sailor Moon)",,,"HOLD IT!"
31,"p537","〔クンツァイト〕","きさまらのおユウギに付き合っているヒマはない","(Kunzite)",,,"We don't have time to play with you."
32,"p538","〔ジェダイト〕","カアッ！！","(Jadeite)",,,"KAH!"
33,"p539","〔セーラームーン〕","きゃっ！？　あ、あちぃ！","(Sailor Moon)",,,"Whoa?! Hot-hot-hot!"
34,"p540","〔マーキュリー〕","（見た目に反して熱量はほとんどない）","(Mercury)",,,"(Wait. This flame is not as hot as it should be.)"
35,"p541","〔マーキュリー〕","みんな！　だまされちゃだめ、幻覚よ！！","(Mercury)",,,"Don't be fooled, girls! It's an illusion!"
36,"p542","〔クンツァイト〕","もうおそい、さらばだ
セーラー戦士たち","(Kunzite)",,,"Too late.
Farewell, Sailor Senshi."
37,"p543","〔ゾイサイト〕","ごきげんよう……うふふ…","(Zoisite)",,,"Adieu! Heheheh..."
38,"sui.16k","〔ネフライト〕","セーラー戦士！　スイギョクの扉だ……","(Nephrite)",,,"Sailor Senshi! Th-The Emerald Gate!"
39,,"〔ネフライト〕","スイギョクの扉に気をつけ……","(Nephrite)",,,"W-Watch out for the Emerald Ga―"
40,,"〔なる〕","…………！！","(Naru)",,,"......! !"
41,"p544a","〔なる〕","う……うう……","(Naru)",,,"*sob*"
42,"p545","〔セーラームーン〕","ネフライト……","(Sailor Moon)",,,"Nephrite..."
43,"p546","〔ぐりお〕","あわわわわ……と、とんでもないものを見て……","(Gurio)",,,"Awawawa..."
44,,"〔ぐりお〕","しまっ……た……","(Gurio)",,,"I-I've just seen something...out of this world......"
