10,"p879","〔クインベリル〕","うがあーっ！！","(Queen Beryl)","AAARGH!!",
11,"p880","〔ジュピター〕","……あ……れ！？","(Jupiter)","...Huh...?",
12,"p881","〔マーキュリー〕","今のは……いったい……","(Mercury)","What did we just do...?",
13,"p882","〔ヴィーナス〕","セーラームーン！　今よ！","(Venus)","Sailor Moon! Now!",
14,"p884","〔セーラームーン〕","ムーンプリンセス
ハレーション！","(Sailor Moon)","Moon Princess Halation!",
15,"p885","〔クインベリル〕","な……なんだと……負ける……のか？","(Queen Beryl)","H-How...? How is this possible...?",
16,"p886","〔クインベリル〕","このわたしが二度も……！？","(Queen Beryl)","How could I be defeated again...?!",
17,"p879","〔クインベリル〕","うがあーっ！！","(Queen Beryl)","AAARGH!!",
18,"p887","〔マーキュリー〕","パスト・ワイズマン！
つぎはあなたの番よ！","(Mercury)","Past Wiseman! You're next!",
19,,"〔パスト・ワイズマン〕","……","(Past Wiseman)","......",
20,"p888","〔ヴィーナス〕","なんとかおっしゃい！","(Venus)","Say something!",
21,"p889","〔パスト・ワイズマン〕","……ムダだ","(Past Wiseman)","...Useless.",
22,"p890","〔セーラームーン〕","！？","(Sailor Moon)","?!",
23,"p891","〔パスト・ワイズマン〕","ムダだといっている","(Past Wiseman)","This is all useless.",
24,"p892","〔マーズ〕","なんて巨大な妖気！！","(Mars)","This evil energy is immense!",
25,"p893a","〔パスト・ワイズマン〕","きさまらがいくらあがこうと、","(Past Wiseman)","The Bloody Opal gives me absolute control over all spirits.",
26,,"〔パスト・ワイズマン〕","霊気をあやつるすべをもつ","(Past Wiseman)",,
27,"p893b","〔パスト・ワイズマン〕","このブラッディオパールの前では無力","(Past Wiseman)","No matter how much you struggle, you are utterly powerless before me.",
28,,"〔パスト・ワイズマン〕","ムダだと言っているのだ","(Past Wiseman)",,
29,"p894","〔ジェダイト〕","ぐ……かはあ！！","(Jadeite)","Rgh...Gwah!",
30,"p895","〔クンツァイト〕","ぐごおぉぉ！！","(Kunzite)","GRAAAGH!",
31,"p896","〔ゾイサイト〕","ぎぎぎぎぎ……","(Zoisite)","Urrrgh...",
32,"p897","〔クインベリル〕","ぐ……ぐおおおっ！！","(Queen Beryl)","Gh...AAARGH!!",
33,"p898","〔ジュピター〕","なっ……","(Jupiter)","What the―?",
34,"p899","〔パスト・ワイズマン〕","もはや、この者たちにあんそくの場はない","(Past Wiseman)","They are unable to rest in peace.",
35,"p900","〔パスト・ワイズマン〕","きさまらが倒せば、倒しただけこいつらは、死の苦し","(Past Wiseman)","Every time they die, they will come back to life,",
36,,"〔パスト・ワイズマン〕","みと再生の苦つうを味わいつづけるのだ……","(Past Wiseman)","suffering pain most excruciating...",
37,"p901","〔セーラームーン〕","……！！","(Sailor Moon)","*gasp*",
38,"p902","〔ヴィーナス〕","ひどい……","(Venus)","...That's so cruel...",
39,"p904","〔パスト・ワイズマン〕","さあ、まだけいやくははたされておらんぞ","(Past Wiseman)","You have not yet fulfilled your pact.",
40,"p905","〔パスト・ワイズマン〕","セーラー戦士たちを血祭りにあげ、","(Past Wiseman)","You must eliminate the Sailor +Senshi+Soldiers+ and bring me the Illusionary Silver Crystal.",
41,,"〔パスト・ワイズマン〕","幻の銀水晶をわが元にけん上するのだ","(Past Wiseman)",,
