10,"p779","〔ネフライト〕","もはやこれらのモニュメントにさしたる意味はない","(Nephrite)","The monuments no longer have any importance."
11,"p780","〔ネフライト〕","問題はパスト・ワイズマン　ヤツがカギをにぎっている","(Nephrite)","It's Past Wiseman you need to worry about.
He holds the key."
12,"p781","〔ネフライト〕","ヤツを倒さんかぎり、東京にかけられた呪いは消えん","(Nephrite)","Tokyo will never be free from this curse unless he's defeated..."
13,"p782","〔ジュピター〕","その、パスト・ワイズマンってのはどこにいるんだい","(Jupiter)","Where is Past Wiseman?"
14,"p783","〔ネフライト〕","ヤツは……デス・ファントムの復活を…ねらっている","(Nephrite)","He seeks...to resurrect...Death Phantom..."
15,"p784","〔ネフライト〕","……銀水晶を……わたすな……わたしては……","(Nephrite)","He must not...get hold of...the Silver Crystal..."
16,"p796","〔ルナ〕","みんな大変！
セーラームーンが","(Luna)","Girls, we've got trouble!"
17,,"〔ルナ〕","クインベリルにさらわれちゃった！！","(Luna)","Queen Beryl has captured Sailor Moon!"
18,"p797","〔みんな〕","ええっ！？","(Everybody)","Huh?!"
19,"p798","〔マーズ〕","あのドジ！","(Mars)","That idiot!"
20,"p799","〔マーキュリー〕","まって、みんな…やっぱり","(Mercury)","Hold on a second...I knew it."
21,"p800","〔マーキュリー〕","…セーラームーンの通信機が発信をつづけている","(Mercury)","Sailor Moon's communicator is still sending its signal."
22,"p801","〔マーキュリー〕","これをたどっていけば……","(Mercury)","We just need to follow it."
23,"p863","〔マーキュリー〕","！！…セーラームーン…","(Mercury)","*gasp* Sailor Moon is..."
24,"p864","〔ジュピター〕","泣いている……","(Jupiter)","...crying..."
25,"p865","〔ヴィーナス〕","わたしたちのプリンセスが","(Venus)","The cheeks of our princess..."
26,"p866","〔ヴィーナス〕","……悲しみにホホをぬらしている……！","(Venus)","...are wet with tears...!"
27,"p867","〔マーズ〕","……プリンセス……いえ…うさぎ！","(Mars)","Princess...No, Usagi!"
28,"p868","〔クインベリル〕","ほう……死ぬのがこわいかプリンセス","(Queen Beryl)","Oh my. Are you afraid of death, Princess?"
29,"p869","〔クインベリル〕","安心しろ、その恐怖もそろそろ終わりだ……","(Queen Beryl)","Worry not. Your end is nigh..."
30,"p870","〔クインベリル〕","死ね！","(Queen Beryl)","DIE!"
31,"p871","〔クインベリル〕","き……きさまら！？","(Queen Beryl)","Y-You―?!"
32,"p872","〔ヴィーナス〕","プリンセスから手をはなしなさい！","(Venus)","Get your dirty hands off of our princess!"
33,"p873","〔ジュピター〕","わたしたちはプリンセス・セレニティを守る","(Jupiter)","We are the four Guardian +Senshi+Soldiers+ tasked with protecting Princess Serenity!"
34,,"〔ジュピター〕","四守護神の戦士！","(Jupiter)",
35,"p874","〔ジュピター〕","スパークリング　ワイド
プレッシャー","(Jupiter)","Sparkling Wide Pressure!"
36,"p875","〔マーキュリー〕","シャイン　アクア
イリュージョン！","(Mercury)","Shine Aqua Illusion!"
37,"p876","〔マーズ〕","バーニング　マンダラー！","(Mars)","Burning Mandala!"
38,"p877","〔ヴィーナス〕","ヴィーナス　ラブミー
チェーン！","(Venus)","Venus Love Me Chain!"
