10,,"〔まこと〕","な、なんだ、こいつは！？","(Makoto)","Wh-Who's that?!",,"Wh-Who's that?!"
11,,"〔バームＥＸ〕","……ん？　そこのおまえ","(Balm EX)","...Hm? Well, well.",,"...Hm? Well well."
12,,"〔バームＥＸ〕","なかなかのエナジーを持ってるみたいだね……","(Balm EX)","What nice energy you have...",,"That's some good energy you have."
13,,"〔まこと〕","エナジー！？","(Makoto)","Energy?!",,"Energy?!"
14,,"〔バームＥＸ〕","ちょうどいい、われらが王国の復活のため","(Balm EX)","Perfect.",,"Perfect."
15,,"〔バームＥＸ〕","そのエナジーをいただこう","(Balm EX)","I'll take your energy, for the sake of the revival of our kingdom.",,"I'll take your energy, for the sake of the revival of our kingdom."
16,,"〔まこと〕","……ちいっ！","(Makoto)","Tch!",,"Tch!"
17,,"〔バームＥＸ〕","ふん、よくかわしたね
だけど、次ははずさないよ","(Balm EX)","I'm impressed you were able to dodge that. But it won't happen again.",,"I'm impressed you were able to dodge it.
But it won't happen again."
18,,"〔まこと〕","ちっ……
（……どうする？）","(Makoto)","Tch...
(What should I do?)",,"Tch...
(What should I do?)"
19,,,"素手で戦う",,"Fight barehanded",,"Fight barehanded"
20,,,"正体を聞く",,"Ask who they are",,"Ask who they are"
21,,,"変身する",,"Transform",,"Transform"
22,,"〔まこと〕","やあっ！","(Makoto)","Yah!",,"Yah!"
23,,"〔バームＥＸ〕","はははは！　人間ごときのワザがきくもんかい！","(Balm EX)","Hahahah! A mere human will never hurt me!",,"Hahahah! A mere human will never hurt me!"
24,,"〔まこと〕","（人間ごとき……？）","(Makoto)","({Mere human}...?)",,"({Mere human}...?)"
25,,,"さらに戦う",,"Keep fighting",,"Keep fighting"
26,,,"といつめる",,"Question",,"Question"
27,,,"変身する",,"Transform",,"Transform"
28,,"〔まこと〕","やあっ！！","(Makoto)","Yah!",,"Yah!"
29,,"〔バームＥＸ〕","しつこいぞ！！
これでもくらいなっ！！","(Balm EX)","Stubborn, aren't we?
Take this!",,"Stubborn, aren't we?
Take this!"
30,,"〔まこと〕","あんた、人間じゃないね！！なにものだい！！","(Makoto)","You're not human!
Who are you?!",,"You're not human!
Who are you?!"
31,,"〔バームＥＸ〕","うるさい！！
これでもくらえっ！！","(Balm EX)","Shut up!
Take this!",,"Shut up!
Take this!"
32,,"〔まこと〕","あんた、いったいなにものなんだい！！","(Makoto)","Just tell me who you are!",,"Just tell me who you are!"
33,,"〔バームＥＸ〕","おまえには関係ないよ！！かくごしな！！","(Balm EX)","That doesn't concern you!
Say your prayers!",,"That doesn't concern you!
Say your prayers!"
34,,,"戦う",,"Fight",,"Fight"
35,,,"といつめる",,"Question",,"Question"
36,,,"変身する",,"Transform",,"Transform"
37,,"〔まこと〕","とうっ！！","(Makoto)","Toh!",,"Toh!"
38,,"〔バームＥＸ〕","ええい、うっとうしい！！とっととかたづけてやる！！","(Balm EX)","Argh, that's enough!
It's time to finish this!",,"Argh, that's enough!
It's time to finish this!"
39,,"〔まこと〕","あんた、さては……","(Makoto)","You'd better start talking.",,"You'd better start talking."
40,,"〔バームＥＸ〕","ほうら、ムダ口たたいてるヒマはないよっ！！","(Balm EX)","Why should I waste my breath on you?",,"Why should I waste my breath on you?"
41,,"〔まこと〕","（変身して、一気にカタをつけてやる！！）ジュピタ…","(Makoto)","(I'll transform and finish this.)
Jupiter―",,"(I'll transform and finish it.)
Jupiter―"
42,,"〔バームＥＸ〕","スキあり！！","(Balm EX)","Got you!",,"Got you!"
43,,"〔まこと〕","し、しまった！！","(Makoto)","D-Darn it!",,"D-Darn it!"
44,,"〔バームＥＸ〕","なにをボンヤリしてるんだい！！　かんねんしな！！","(Balm EX)","That's what you get for dillydallying!
Are you ready?",,"That's what you get for dillydallying!
Are you ready?"
45,,,"もがく",,"Squirm",,"Squirm"
