0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,"p480","〔ルナ〕","…で、結局あたしにこういう役がまわってくるのよね","(Luna)"
11,"p481","〔ルナ〕","まあ、みんな女の子だし学校だってあるし、見張りな","(Luna)"
12,,"〔ルナ〕","んてのは確かにネコの方が世話ないからわかるけどね","(Luna)"
13,"p482","〔ルナ〕","ふわぁーーーあ","(Luna)"
14,"p483","〔ルナ〕","でもたいくつ。やっぱりうさぎちゃんの言うとおり","(Luna)"
15,,"〔ルナ〕","ネフライトは本物で改心もしたのかしら……","(Luna)"
16,"p484","〔クンツァイト〕","王子……！","(Kunzite)"
17,"p485","〔ゾイサイト〕","王子！","(Zoisite)"
18,"p486","〔ネフライト〕","王子！","(Nephrite)"
19,"p487","〔ジェダイト〕","王子！","(Jadeite)"
20,"p488","〔クンツァイト〕","王子！　われわれは、言いなりはもうたくさんだ！","(Kunzite)"
21,"p489","〔ジェダイト〕","月の王国のやり方には
がまんできません！","(Jadeite)"
22,"p490","〔ゾイサイト〕","われわれを、支配者気取りで一方的に監視するなど…","(Zoisite)"
23,"p491","〔ネフライト〕","立ち上がりましょう！
王子！","(Nephrite)"
24,"p492","〔ネフライト〕","逆にこちらが月の王国を支配してやるのです","(Nephrite)"
25,"p493","〔４人〕","王子！！","(All Four)"
26,"p494","〔エンディミオン〕","なぜ争おうとする？","(Endymion)"
27,"p495","〔エンディミオン〕","いつ言いなりになったというんだ！！","(Endymion)"
28,"p496","〔エンディミオン〕","監視されているだと？","(Endymion)"
29,"p497","〔エンディミオン〕","わからないのか！？","(Endymion)"
30,"p498","〔エンディミオン〕","あいつはわれわれを利用しようとしているのだぞ！！","(Endymion)"
31,"p499","〔ネフライト〕","ハァッ、ハァッ……","(Nephrite)"
32,"p500","〔ネフライト〕","再生のショックで","(Nephrite)"
33,,"〔ネフライト〕","うしなわれた過去の記憶を取り戻す……か","(Nephrite)"
34,"p501","〔ネフライト〕","あまりにも……おそすぎる……","(Nephrite)"
35,"p502","〔ルナ〕","！！！！！！？","(Luna)"
36,"p503","〔ルナ〕","あれは……！？　大変！！","(Luna)"
37,"a081","〔ルナ〕","亜美ちゃん！　敵よ！","(Luna)"
38,,"〔ルナ〕","なるちゃんの家に敵があらわれたわ！　すぐ来て！","(Luna)"
39,"a082","〔亜美〕","！！","(Ami)"
40,,"","すぐに行く",""
41,,"","状況をきく",""
42,,"","ほかの人に連絡する",""
43,,"〔亜美〕","ルナ、みんなには
もう連絡した？","(Ami)"
44,,"〔ルナ〕","連絡ずみよ！","(Luna)"
45,,"〔亜美〕","状況は？","(Ami)"
46,,"〔ルナ〕","敵は３人！　みんな仮面をつけているから正体は不明","(Luna)"
47,,"〔ルナ〕","でも、わたし一人じゃ、どうにもならないわ","(Luna)"
48,,"〔亜美〕","すぐ行くわ！","(Ami)"
49,"a083","〔亜美〕","（そうだ……とおい過去から、そして今まで","(Ami)"
