0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,,"〔うさぎ〕","あれ、もうレイちゃんたち帰っちゃったのかな？","(Usagi)"
11,,"〔うさぎ〕","まっいいや！　Ｖちゃんのゲームでもやろーっと！","(Usagi)"
12,,"","［Ｖゲームの説明］
十字キーの上下でＶちゃんを動かして飛んでくる敵を",""
13,,"","［Ｖゲームの説明］
打ち落としてください。",""
14,,"〔うさぎ〕","（あ～あ、ゲームオーバーになっちゃった","(Usagi)"
15,,"〔うさぎ〕","どうしよう？）","(Usagi)"
16,,"","セーラーＶに再挑戦！",""
17,,"","気合をこめて再挑戦！",""
18,,"","セーラーＶはやめる",""
19,,"〔うさぎ〕","よし！
もう一回チャレンジよ！！","(Usagi)"
20,,"〔うさぎ〕","このままやめるのは
くやしいわ","(Usagi)"
21,,"〔うさぎ〕","気合を込めて
再チャレンジよ！","(Usagi)"
