0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,,"","
［月野　うさぎ］　三石　琴乃
",""
11,,"","
［水野　亜美］
　久川　綾
",""
12,,"","
［火野　レイ］
　富沢　美智恵
",""
13,,"","
［木野　まこと］　篠原　恵美
",""
14,,"","
［愛野　美奈子］　深見　梨加
",""
15,,"","
［ルナ］
　藩　恵子
",""
16,,"","
［アルテミス］
　高戸　靖広
",""
17,,"","
［地場　衛］
　古谷　徹
",""
18,,"","
［クンツァイト］　曽我部　和恭",""
19,,"","
［ゾイサイト］
　難波　圭一",""
20,,"","
［ジェダイト］
　小野坂　昌也",""
21,,"","
［ネフライト］
　森　功至",""
22,,"","
［月野　育子］
　高木　早苗

［大阪　なる］
　柿沼　紫乃
",""
23,,"","
［春日　きよみ］　笠原　留美

［弥ろく院］
　山崎　和佳奈
",""
24,,"","
［清水くん］
　置鮎　龍太郎

［不良Ａ］
　田中　一成
",""
25,,"","
［めぐみ］
　山田　妙子

［女生徒］
　柳瀬　洋美
",""
26,,"","［警備員］
　江川　央生

［パスト
　　ワイズマン］　掛川　裕彦
",""
27,,"","


　　　　　　　　協力
　　　（株）青二プロダクション
",""
28,,"","　　　〔恋する乙女は負けない〕
　　　　　作詞　白峰美津子
　　　　　作曲　つのごうじ
　　　　　編曲　岩本正樹

　　〔同じ星に生まれた二人だから〕
　　　　　作詞　白峰美津子
　　　　　作曲　樫原伸彦
　　　　　編曲　岩本正樹
",""
29,,"","
　　　　　　　歌
　三石琴乃　　セーラームーン
　久川綾　　　セーラーマーキュリー
　富沢美智恵　セーラーマーズ
　篠原恵美　　セーラージュピター
　深見梨加　　セーラーヴィーナス
",""
30,,"","


　　原作／ボスキャラ　デザイン
　　　　　　武内　直子
",""
31,,"","


　　　　　　　協力
　　　　〔なかよし〕編集部
",""
32,,"","


　　　　　　　録音
　　　　立花　康夫（タバック）
",""
33,,"","


　　　　　　　監修
　　　　東　伊里弥（東映動画）
",""
34,,"","


　　　　制作プロデューサー
　　　　五十嵐　雅夫（ＡＩＣ）
",""
35,,"","

　　　　　制作アシスト
　　　　岩崎　豊明（ＡＩＣ）
　　　　吉実　昌弘（ＡＩＣ）
",""
36,,"","

　　　　ゲームデザインサポート
　　　　　　小林　功一郎
　　　　　　余語　慶一
",""
37,,"","

　　　　　　　　音楽
　　　　　　前田　華代子
　　　　　　飯塚　博
",""
38,,"","


　　　　　　作画制作進行
　　　　　中村　尚人（ＡＩＣ）
",""
39,,"","

　　　　　シナリオサポート
　　千葉智宏（スタジオ　オルフェ）
　　倉田英之（スタジオ　オルフェ）

",""
40,,"","　　　　　　　作画
　　寺沢　伸介　　　大河原　晴男
　　別所　誠人　　　黒柳　賢治
　　柳下　雅司　　　野口　木ノ実

　　　　　　　ＭＡＸ
　　杉山　嘉苗　　　南黒沢　由美
　　内田　順久
",""
41,,"","　　　　　　　作画
　　　　　アニメスポット
　　アベ　正巳　　　加藤　茂
　　一志　勝利　　　浜田　勝
　　西尾　鉄也

　　サンシャインコーポレーション
　　滝川　和男　　　田中　誠輝
　　平山　英萌　　　岩淵　哲哉
",""
42,,"","
　　　　　　　作画
　　　　　Ｓｔ．ＨＡＫＫ
　　荒木　英樹　　　河野　悦隆
　　小菅　洋　　　　澄川　智深
　　伊藤　克修　　　池内　智男
　　松沢　憲子
",""
43,,"","
　　　　　グラフィッカー
　　　　　城後　憲作（ＡＩＣ）
　　　　　平井　健三郎
　　　　　平井　勝四郎
　　　　　黒川　仁
",""
44,,"","
　　　　　グラフィッカー
　　　　　山越　亮
　　　　　金子　修治
　　　　　小村　秀人
　　　　　大野　久美
",""
45,,"","


　　　　　プロデューサー
　じっぱひとからげ（バンプレスト）
",""
46,,"","販売元
",""
47,,"","（株）バンプレスト
",""
48,,"","販売元
",""
49,,"","（株）バンプレスト
",""
50,,"","販売元
",""
51,,"","（株）バンプレスト
",""
52,,"","販売元
",""
53,,"","（株）バンプレスト
",""
54,,"","販売元
",""
55,,"","（株）バンプレスト
",""
