0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,,"〔うさぎ〕","よし！　やるぞ！！","(Usagi)"
11,,"","［Ｖゲームの説明］
十字キーの上下でＶちゃんを動かして飛んでくる敵を",""
12,,"","［Ｖゲームの説明］
打ち落としてください。",""
13,,"〔うさぎ〕","（あ～あ、ゲームオーバーになっちゃった","(Usagi)"
14,,"〔うさぎ〕","どうしよう？）","(Usagi)"
15,,"","セーラーＶに再挑戦！",""
16,,"","気合をこめて再挑戦！",""
17,,"","セーラーＶはやめる",""
18,,"〔うさぎ〕","よし！
もう一回チャレンジよ！！","(Usagi)"
19,,"〔うさぎ〕","このままやめるのは
くやしいわ","(Usagi)"
20,,"〔うさぎ〕","気合を込めて
再チャレンジよ！","(Usagi)"
