0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,,"〔まこと〕","な、なんだ、こいつは！？","(Makoto)"
11,,"〔バームＥＸ〕","……ん？　そこのおまえ","(Balm EX)"
12,,"〔バームＥＸ〕","なかなかのエナジーを持ってるみたいだね……","(Balm EX)"
13,,"〔まこと〕","エナジー！？","(Makoto)"
14,,"〔バームＥＸ〕","ちょうどいい、われらが王国の復活のため","(Balm EX)"
15,,"〔バームＥＸ〕","そのエナジーをいただこう","(Balm EX)"
16,,"〔まこと〕","……ちいっ！","(Makoto)"
17,,"〔バームＥＸ〕","ふん、よくかわしたね
だけど、次ははずさないよ","(Balm EX)"
18,,"〔まこと〕","ちっ……
（……どうする？）","(Makoto)"
19,,"","素手で戦う",""
20,,"","正体を聞く",""
21,,"","変身する",""
22,,"〔まこと〕","やあっ！","(Makoto)"
23,,"〔バームＥＸ〕","はははは！　人間ごときのワザがきくもんかい！","(Balm EX)"
24,,"〔まこと〕","（人間ごとき……？）","(Makoto)"
25,,"","さらに戦う",""
26,,"","といつめる",""
27,,"","変身する",""
28,,"〔まこと〕","やあっ！！","(Makoto)"
29,,"〔バームＥＸ〕","しつこいぞ！！
これでもくらいなっ！！","(Balm EX)"
30,,"〔まこと〕","あんた、人間じゃないね！！なにものだい！！","(Makoto)"
31,,"〔バームＥＸ〕","うるさい！！
これでもくらえっ！！","(Balm EX)"
32,,"〔まこと〕","あんた、いったいなにものなんだい！！","(Makoto)"
33,,"〔バームＥＸ〕","おまえには関係ないよ！！かくごしな！！","(Balm EX)"
34,,"","戦う",""
35,,"","といつめる",""
36,,"","変身する",""
37,,"〔まこと〕","とうっ！！","(Makoto)"
38,,"〔バームＥＸ〕","ええい、うっとうしい！！とっととかたづけてやる！！","(Balm EX)"
39,,"〔まこと〕","あんた、さては……","(Makoto)"
40,,"〔バームＥＸ〕","ほうら、ムダ口たたいてるヒマはないよっ！！","(Balm EX)"
41,,"〔まこと〕","（変身して、一気にカタをつけてやる！！）ジュピタ…","(Makoto)"
42,,"〔バームＥＸ〕","スキあり！！","(Balm EX)"
43,,"〔まこと〕","し、しまった！！","(Makoto)"
44,,"〔バームＥＸ〕","なにをボンヤリしてるんだい！！　かんねんしな！！","(Balm EX)"
45,,"","もがく",""
46,,"","あばれる",""
47,,"","あきらめる",""
48,,"〔まこと〕","（ちいっ！！
よけないとまずい！！）","(Makoto)"
49,,"","右へよける",""
50,,"","左へかわす",""
51,,"","上へ逃げる",""
52,,"〔バームＥＸ〕","逃がさないよ！！","(Balm EX)"
53,,"〔まこと〕","しまった！！","(Makoto)"
54,,"〔バームＥＸ〕","ハーッハッハッ！！もう逃がさないよ！！","(Balm EX)"
55,,"","もがく",""
56,,"","あばれる",""
57,,"","あきらめる",""
58,,"〔まこと〕","はなせ！！　ちくしょう！！","(Makoto)"
59,,"〔バームＥＸ〕","おうじょうぎわが悪いよ！！","(Balm EX)"
