0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,"r114","〔うさぎ〕","もっときおにいさーん……","(Usagi)"
11,"r115","〔うさぎ〕","は、いないみたいねぇ","(Usagi)"
12,"r116","〔美奈子〕","きっと、お休みじゃない？","(Minako)"
13,"r117","〔うさぎ〕","ちぇ、ひさしぶりに会いに来たのにぃ……","(Usagi)"
14,"r118","〔レイ〕","なによあんた
まだひょっとして……","(Rei)"
15,"r119","〔うさぎ〕","ち、ちがうってば！","(Usagi)"
16,,"〔うさぎ〕","今のあたしは、まもちゃんひとすじだもーん","(Usagi)"
17,"r120","〔うさぎ〕","もときおにーさんは
お・と・も・だ・ち","(Usagi)"
18,"r121","〔レイ〕","……言ってろ","(Rei)"
19,"r122","〔レイ〕","ぎ……","(Rei)"
20,"r123","〔レイ〕","ぎぎ……","(Rei)"
21,"r124","〔レイ〕","ぐぎぎぎぎぎ……","(Rei)"
22,"r125","〔レイ〕","あーーーーっ！！","(Rei)"
23,"r126","〔レイ〕","ちぇっ！","(Rei)"
24,"r127","〔レイ〕","終わっちゃった！","(Rei)"
25,,"","もう一度プレイする",""
26,,"","やめる",""
27,,"","美奈子とうさぎを探す",""
28,,"〔レイ〕","（もうやめとこうかな…おこづかいも残り少ないし）","(Rei)"
29,"r129","〔レイ〕","あの二人はなにやってんだろ……？","(Rei)"
30,"r130","〔レイ〕","（うさぎはセーラーＶゲームか……","(Rei)"
31,"r131","〔レイ〕","あの子もよくあきないわね","(Rei)"
32,"r132","〔レイ〕","美奈子ちゃんはクレーンゲームか","(Rei)"
33,"r133","〔レイ〕","そう言えばほしいぬいぐるみがあるのよね","(Rei)"
34,"r134","〔レイ〕","美奈子ちゃんってうまいのかな……？","(Rei)"
35,,"","美奈子のところへ行く",""
36,,"","うさぎに声をかける",""
37,,"","また同じゲームをする",""
38,"r135","〔レイ〕","みーなっこちゃん！
どう？　調子は？","(Rei)"
39,"r136","〔美奈子〕","んーーっだめ
最悪……","(Minako)"
40,"r137","〔美奈子〕","どーしてもあのＶちゃん人形がほしいのに……","(Minako)"
41,"r138","〔レイ〕","セーラーＶのぬいぐるみか今時めずらしいね、よーし","(Rei)"
42,"r139","〔アルテミス〕","やめといたほうがいいな
１００円ムダにするだけだ","(Artemis)"
43,"r140","〔レイ〕","なにいってるのよ！","(Rei)"
44,"r141","〔アルテミス〕","よく見ればわかるハズだ
","(Artemis)"
45,"r142","〔アルテミス〕","それはびみょうにクレーンが届かないはんいに入って","(Artemis)"
46,,"〔アルテミス〕","しまっている","(Artemis)"
47,"r143","〔アルテミス〕","ちょっとした注意力があればわかると思うんだがね","(Artemis)"
48,"r144","〔二人〕","ア……アルテミス！！","(Both)"
49,"r145","〔アルテミス〕","戦士としての特訓をサボるようじゃ","(Artemis)"
50,,"〔アルテミス〕","やはりまだまだということだね","(Artemis)"
51,,"〔レイ〕","うっさぎー
あとで対戦やんない？","(Rei)"
