0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,"mako_bat.se","","戦う",""
11,,"","逃げる",""
12,,"","守る",""
13,,"","不良が２人現れた！",""
14,,"","まことの攻撃！
",""
15,,"","不良Ａに",""
16,,"","０のダメージを与えた！",""
17,,"","不良Ａを倒した！",""
18,,"","まことの攻撃！
",""
19,,"","不良Ｂに",""
20,,"","０のダメージを与えた！",""
21,,"","不良Ｂを倒した！",""
22,,"","まことは不良達をやっつけた！",""
23,,"","まことは逃げだそうと考えた！",""
24,,"","しかし、ここで逃げるわけにはいかない！",""
25,,"","まことは守りを固めた",""
26,,"","不良Ａの攻撃！
",""
27,,"","まことは",""
28,,"","０のダメージを受けた。",""
29,,"","不良Ｂの攻撃！
",""
30,,"","まことは",""
31,,"","０のダメージを受けた。",""
